city,countryId,createDate,createdBy,lastUpdate,lastUpdateBy
Francisco Villa,1,9/11/2023,hbarca0,2/8/2023,glyddy0
El Pardo,2,8/7/2023,scramer1,7/9/2023,afloyd1
Menlou’ao,3,4/19/2023,aruddock2,10/22/2022,mholton2
Hongtang,4,1/12/2023,tvaughan3,9/18/2023,tpandie3
Cerrito,5,9/11/2023,sselway4,9/15/2023,mlehr4
Mohale’s Hoek,6,5/7/2023,jcubbinelli5,10/1/2023,blissandri5
Banyuurip,7,6/9/2023,bwhittington6,2/15/2023,wkeough6
Roa,8,12/11/2022,zdwyer7,1/2/2023,jwinspear7
Kandun,9,9/26/2023,rheinsen8,12/15/2022,jepiscopi8
Matur,10,2/9/2023,lorris9,4/19/2023,fguttridge9
Fougamou,11,1/23/2023,btraslera,1/20/2023,jchomicza
Benito Juarez,12,12/24/2022,msterlingb,12/7/2022,kgaspardb
Guamal,13,4/3/2023,dashec,6/4/2023,bdowniec
Chaoyangdong,14,5/1/2023,kbuswelld,8/4/2023,dsummerscalesd
Barkā’,15,4/17/2023,wkonige,12/12/2022,jeagare
Dondar Quşçu,16,12/18/2022,kyesipovf,3/20/2023,ccrippesf
Taquari,17,9/1/2023,dweddupg,5/2/2023,cfearnallg
Tongli,18,9/12/2023,tilyushkinh,10/11/2022,lduberryh
Veliko Tŭrnovo,19,3/6/2023,jcondicti,2/27/2023,tbragancai
Curanilahue,20,11/27/2022,bdinsdalej,8/18/2023,lmacinnesj
Loma,21,8/27/2023,cdabellk,6/12/2023,mhasnipk
Skelivka,22,8/4/2023,ekingsnorthl,6/22/2023,mmccartyl
Stockholm,23,1/11/2023,hillesleym,3/25/2023,mtoolinm
New Orleans,24,12/30/2022,ksmellien,5/31/2023,dscaplehornn
Kachar,25,11/10/2022,hyaldreno,12/1/2022,malwino
Camp Diable,26,11/30/2022,bbowdlerp,1/20/2023,fjobp
Luozhuang,27,3/6/2023,cpackeq,12/8/2022,jkemmerq
Guali,28,9/26/2023,lcomettir,4/4/2023,bdelver
Belanting,29,4/4/2023,bseelys,1/1/2023,dquiggs
Lacroix-Saint-Ouen,30,9/21/2023,cmapsont,3/24/2023,tsambrokt
Khān Neshīn,31,2/5/2023,sdriversu,9/3/2023,speeu
Jinxiang,32,9/30/2023,trysdalev,7/24/2023,rsheranv
Boituva,33,8/17/2023,msnarw,8/12/2023,hcrambiew
La Roche-sur-Yon,34,12/30/2022,amontex,7/6/2023,tnaisbittx
Telhado,35,12/18/2022,oswyersexeyy,4/1/2023,vangeliniy
Bobigny,36,11/3/2022,dgabbattz,9/20/2023,klyvenz
Strančice,37,2/25/2023,arivitt10,7/28/2023,cmachostie10
Kebonsari,38,10/15/2022,dcod11,5/29/2023,cwilson11
Sepatan,39,9/8/2023,fsimons12,9/20/2023,msibthorp12
Sasa,40,1/17/2023,fdreghorn13,6/6/2023,fhyslop13
Łukowa,41,11/9/2022,lcalkin14,2/26/2023,mreame14
Vila Flor,42,2/20/2023,cmidlane15,7/17/2023,aianitti15
Nova Granada,43,12/23/2022,ebrandoni16,3/4/2023,ageoghegan16
Kunting,44,11/14/2022,lzanni17,4/17/2023,dbodd17
Strathmore,45,12/27/2022,bgauld18,4/5/2023,sstrotton18
Ropa,46,12/19/2022,aaloshechkin19,8/28/2023,bhinstridge19
Cungkal,47,9/23/2023,dcorran1a,12/11/2022,hbridgnell1a
Tagoloan,48,7/30/2023,jraddon1b,1/24/2023,jforrest1b
Creil,49,1/31/2023,msea1c,2/5/2023,elettsom1c
Kutamandarakan,50,12/30/2022,fennever1d,1/27/2023,dyeeles1d
Stradbally,51,10/10/2022,chulance1e,5/11/2023,ddimeloe1e
Ruše,52,4/29/2023,dibanez1f,4/8/2023,nmangin1f
Borūjerd,53,11/15/2022,mfishwick1g,5/1/2023,gveare1g
Sano,54,6/26/2023,lrusso1h,8/26/2023,rrodriguez1h
Shamkhor,55,10/21/2022,cstirzaker1i,12/6/2022,mfarnin1i
Orosh,56,2/23/2023,dashpole1j,9/11/2023,bhowick1j
Mujur Satu,57,1/5/2023,vdrinkale1k,2/20/2023,sscolts1k
Constanza,58,8/6/2023,stow1l,11/30/2022,bdobbs1l
Shankeng,59,4/20/2023,ewattinham1m,8/20/2023,npotteridge1m
Kubang,60,5/14/2023,qtape1n,7/16/2023,kclarson1n
Chernigovka,61,12/5/2022,dmillion1o,10/10/2022,cmilnes1o
Cabinda,62,8/24/2023,fsegar1p,4/23/2023,mbradberry1p
Kagawasan,63,10/15/2022,mashdown1q,5/13/2023,pboyett1q
Khvalynsk,64,6/3/2023,oitzcak1r,2/2/2023,ejarrett1r
Fushi,65,12/15/2022,drichens1s,10/11/2022,araffon1s
Bocaiúva,66,12/25/2022,pnarraway1t,12/16/2022,eotridge1t
Nizhnevartovsk,67,3/10/2023,astoad1u,8/30/2023,zdenyagin1u
Querobamba,68,5/8/2023,kjovic1v,11/29/2022,gmonsey1v
Pindamonhangaba,69,3/25/2023,rstripp1w,5/21/2023,stingle1w
Tønsberg,70,4/14/2023,amathy1x,11/27/2022,ajuster1x
‘Afak,71,2/9/2023,gminihan1y,8/18/2023,itrethowan1y
Oke Ila,72,4/1/2023,moloman1z,8/21/2023,mbeer1z
Zhengwan,73,2/22/2023,pburfitt20,9/6/2023,bquarless20
Colomiers,74,9/25/2023,bpanton21,3/31/2023,ddrinkhill21
Loyew,75,2/3/2023,vblenkinsopp22,11/13/2022,abaddow22
Sumberjeruk,76,12/24/2022,dtippetts23,10/28/2022,nmilthorpe23
Litibakul,77,8/16/2023,mburgoyne24,6/10/2023,kflintoff24
Paris 01,78,9/12/2023,ahuett25,9/9/2023,abatisse25
Paôy Pêt,79,2/3/2023,lweepers26,4/20/2023,rwhitehurst26
Kisasa,80,11/26/2022,dyegorov27,3/1/2023,tgarrigan27
Tucson,81,2/20/2023,rcarnihan28,3/16/2023,tandreichik28
Malpique,82,8/10/2023,cgonthier29,9/1/2023,mrentcome29
Puan,83,3/12/2023,ckilsby2a,7/27/2023,coflaverty2a
Kylmäkoski,84,10/18/2022,pbullan2b,1/10/2023,gklinck2b
Pasadena,85,10/23/2022,cogriffin2c,7/11/2023,kfrankcom2c
Sacramento,86,12/13/2022,ksueter2d,4/26/2023,mgossop2d
Dobryanka,87,3/23/2023,mjanney2e,1/25/2023,vschroeder2e
Lewoduli,88,10/18/2022,rstoyle2f,12/12/2022,rlindborg2f
Talibura,89,7/31/2023,ttithecote2g,6/30/2023,gjeger2g
Ilhabela,90,1/21/2023,bwincer2h,11/16/2022,ftownes2h
Ntobo,91,10/3/2022,vthurlborn2i,3/10/2023,vtruss2i
Firá,92,3/26/2023,eriping2j,4/11/2023,rbolte2j
